index,Final_description
p03148,"there are n pieces of sushi. each piece has two parameters: ""kind of topping"" t_i and ""deliciousness"" d_i.
you are choosing k among these n pieces to eat.
your ""satisfaction"" here will be calculated as follows: the satisfaction is the sum of the ""base total deliciousness"" and the ""variety bonus"". the base total deliciousness is the sum of the deliciousness of the pieces you eat. the variety bonus is x*x, where x is the number of different kinds of toppings of the pieces you eat. you want to have as much satisfaction as possible.
find this maximum satisfaction. 
"
p03149,"you are given four digits n_1, n_2, n_3 and n_4. determine if these can be arranged into the sequence of digits ""1974"". 
"
p03150,"a string is called a keyence string when it can be changed to keyence by removing its contiguous substring (possibly empty) only once. given a string s consisting of lowercase english letters, determine if s is a keyence string. 
"
p03151,"a university student, takahashi, has to take n examinations and pass all of them.
currently, his readiness for the i-th examination is a_{i}, and according to his investigation, it is known that he needs readiness of at least b_{i} in order to pass the i-th examination. takahashi thinks that he may not be able to pass all the examinations, and he has decided to ask a magician, aoki, to change the readiness for as few examinations as possible so that he can pass all of them, while not changing the total readiness. for takahashi, find the minimum possible number of indices i such that a_i and c_i are different, for a sequence c_1, c_2, ..., c_{n} that satisfies the following conditions: the sum of the sequence a_1, a_2, ..., a_{n} and the sum of the sequence c_1, c_2, ..., c_{n} are equal. for every i, b_i \leq c_i holds. if such a sequence c_1, c_2, ..., c_{n} cannot be constructed, print -1. 
"
p03155,"it has been decided that a programming contest sponsored by company a will be held, so we will post the notice on a bulletin board. the bulletin board is in the form of a grid with n rows and n columns, and the notice will occupy a rectangular region with h rows and w columns. how many ways are there to choose where to put the notice so that it completely covers exactly hw squares? 
"
p03156,"you have written n problems to hold programming contests.
the i-th problem will have a score of p_i points if used in a contest. with these problems, you would like to hold as many contests as possible under the following condition: a contest has three problems. the first problem has a score not greater than a points, the second has a score between a + 1 and b points (inclusive), and the third has a score not less than b + 1 points. the same problem should not be used in multiple contests.
at most how many contests can be held? 
"
p03157,"there is a grid with h rows and w columns, where each square is painted black or white. you are given h strings s_1, s_2, ..., s_h, each of length w.
if the square at the i-th row from the top and the j-th column from the left is painted black, the j-th character in the string s_i is #; if that square is painted white, the j-th character in the string s_i is .. find the number of pairs of a black square c_1 and a white square c_2 that satisfy the following condition: there is a path from the square c_1 to the square c_2 where we repeatedly move to a vertically or horizontally adjacent square through an alternating sequence of black and white squares: black, white, black, white... 

"
p03160,"there are n stones, numbered 1, 2, \ldots, n.
for each i (1 \leq i \leq n), the height of stone i is h_i. there is a frog who is initially on stone 1.
he will repeat the following action some number of times to reach stone n: if the frog is currently on stone i, jump to stone i + 1 or stone i + 2. here, a cost of |h_i - h_j| is incurred, where j is the stone to land on. find the minimum possible total cost incurred before the frog reaches stone n. 
"
p03161,"there are n stones, numbered 1, 2, \ldots, n.
for each i (1 \leq i \leq n), the height of stone i is h_i. there is a frog who is initially on stone 1.
he will repeat the following action some number of times to reach stone n: if the frog is currently on stone i, jump to one of the following: stone i + 1, i + 2, \ldots, i + k. here, a cost of |h_i - h_j| is incurred, where j is the stone to land on. find the minimum possible total cost incurred before the frog reaches stone n. 
"
p03162,"taro's summer vacation starts tomorrow, and he has decided to make plans for it now. the vacation consists of n days.
for each i (1 \leq i \leq n), taro will choose one of the following activities and do it on the i-th day: a: swim in the sea. gain a_i points of happiness. b: catch bugs in the mountains. gain b_i points of happiness. c: do homework at home. gain c_i points of happiness. as taro gets bored easily, he cannot do the same activities for two or more consecutive days. find the maximum possible total points of happiness that taro gains. 
"
p03163,"there are n items, numbered 1, 2, \ldots, n.
for each i (1 \leq i \leq n), item i has a weight of w_i and a value of v_i. taro has decided to choose some of the n items and carry them home in a knapsack.
the capacity of the knapsack is w, which means that the sum of the weights of items taken must be at most w. find the maximum possible sum of the values of items that taro takes home. 
"
p03164,"there are n items, numbered 1, 2, \ldots, n.
for each i (1 \leq i \leq n), item i has a weight of w_i and a value of v_i. taro has decided to choose some of the n items and carry them home in a knapsack.
the capacity of the knapsack is w, which means that the sum of the weights of items taken must be at most w. find the maximum possible sum of the values of items that taro takes home. 
"
p03165,"you are given strings s and t.
find one longest string that is a subsequence of both s and t. 
"
p03166,"there is a directed graph g with n vertices and m edges.
the vertices are numbered 1, 2, \ldots, n, and for each i (1 \leq i \leq m), the i-th directed edge goes from vertex x_i to y_i.
g does not contain directed cycles. find the length of the longest directed path in g.
here, the length of a directed path is the number of edges in it. 
"
p03167,"there is a grid with h horizontal rows and w vertical columns.
let (i, j) denote the square at the i-th row from the top and the j-th column from the left. for each i and j (1 \leq i \leq h, 1 \leq j \leq w), square (i, j) is described by a character a_{i, j}.
if a_{i, j} is ., square (i, j) is an empty square; if a_{i, j} is #, square (i, j) is a wall square.
it is guaranteed that squares (1, 1) and (h, w) are empty squares. taro will start from square (1, 1) and reach (h, w) by repeatedly moving right or down to an adjacent empty square. find the number of taro's paths from square (1, 1) to (h, w).
as the answer can be extremely large, find the count modulo 10^9 + 7. 
"
p03168,"let n be a positive odd number. there are n coins, numbered 1, 2, \ldots, n.
for each i (1 \leq i \leq n), when coin i is tossed, it comes up heads with probability p_i and tails with probability 1 - p_i. taro has tossed all the n coins.
find the probability of having more heads than tails. 
"
p03169,"there are n dishes, numbered 1, 2, \ldots, n.
initially, for each i (1 \leq i \leq n), dish i has a_i (1 \leq a_i \leq 3) pieces of sushi on it. taro will perform the following operation repeatedly until all the pieces of sushi are eaten: roll a die that shows the numbers 1, 2, \ldots, n with equal probabilities, and let i be the outcome. if there are some pieces of sushi on dish i, eat one of them; if there is none, do nothing. find the expected number of times the operation is performed before all the pieces of sushi are eaten. 
"
p03170,"there is a set a = \{ a_1, a_2, \ldots, a_n \} consisting of n positive integers.
taro and jiro will play the following game against each other. initially, we have a pile consisting of k stones.
the two players perform the following operation alternately, starting from taro: choose an element x in a, and remove exactly x stones from the pile. a player loses when he becomes unable to play.
assuming that both players play optimally, determine the winner. 
"
p03171,"taro and jiro will play the following game against each other. initially, they are given a sequence a = (a_1, a_2, \ldots, a_n).
until a becomes empty, the two players perform the following operation alternately, starting from taro: remove the element at the beginning or the end of a. the player earns x points, where x is the removed element. let x and y be taro's and jiro's total score at the end of the game, respectively.
taro tries to maximize x - y, while jiro tries to minimize x - y. assuming that the two players play optimally, find the resulting value of x - y. 
"
p03172,"there are n children, numbered 1, 2, \ldots, n. they have decided to share k candies among themselves.
here, for each i (1 \leq i \leq n), child i must receive between 0 and a_i candies (inclusive).
also, no candies should be left over. find the number of ways for them to share candies, modulo 10^9 + 7.
here, two ways are said to be different when there exists a child who receives a different number of candies. 
"
p03173,"there are n slimes lining up in a row.
initially, the i-th slime from the left has a size of a_i. taro is trying to combine all the slimes into a larger slime.
he will perform the following operation repeatedly until there is only one slime: choose two adjacent slimes, and combine them into a new slime. the new slime has a size of x + y, where x and y are the sizes of the slimes before combining them. here, a cost of x + y is incurred. the positional relationship of the slimes does not change while combining slimes. find the minimum possible total cost incurred. 
"
p03186,"takahashi has a untasty cookies containing antidotes, b tasty cookies containing antidotes and c tasty cookies containing poison. eating a cookie containing poison results in a stomachache, and eating a cookie containing poison while having a stomachache results in a death.
as he wants to live, he cannot eat one in such a situation.
eating a cookie containing antidotes while having a stomachache cures it, and there is no other way to cure stomachaches. find the maximum number of tasty cookies that takahashi can eat. 
"
p03192,"you are given an integer n that has exactly four digits in base ten.
how many times does 2 occur in the base-ten representation of n? 
"
p03193,"there are n rectangular plate materials made of special metal called atcoder alloy.
the dimensions of the i-th material are a_i \times b_i (a_i vertically and b_i horizontally). takahashi wants a rectangular plate made of atcoder alloy whose dimensions are exactly h \times w.
he is trying to obtain such a plate by choosing one of the n materials and cutting it if necessary.
when cutting a material, the cuts must be parallel to one of the sides of the material.
also, the materials have fixed directions and cannot be rotated.
for example, a 5 \times 3 material cannot be used as a 3 \times 5 plate. out of the n materials, how many can produce an h \times w plate if properly cut? 
"
p03194,"there are n integers a_1, a_2, ..., a_n not less than 1.
the values of a_1, a_2, ..., a_n are not known, but it is known that a_1 \times a_2 \times ... \times a_n = p. find the maximum possible greatest common divisor of a_1, a_2, ..., a_n. 
"
p03195,"there is an apple tree that bears apples of n colors. the n colors of these apples are numbered 1 to n, and there are a_i apples of color i. you and lunlun the dachshund alternately perform the following operation (starting from you): choose one or more apples from the tree and eat them. here, the apples chosen at the same time must all have different colors. the one who eats the last apple from the tree will be declared winner. if both you and lunlun play optimally, which will win? 
"
p03196,"there are n integers a_1, a_2, ..., a_n not less than 1.
the values of a_1, a_2, ..., a_n are not known, but it is known that a_1 \times a_2 \times ... \times a_n = p. find the maximum possible greatest common divisor of a_1, a_2, ..., a_n. 
"
p03197,"there is an apple tree that bears apples of n colors. the n colors of these apples are numbered 1 to n, and there are a_i apples of color i. you and lunlun the dachshund alternately perform the following operation (starting from you): choose one or more apples from the tree and eat them. here, the apples chosen at the same time must all have different colors. the one who eats the last apple from the tree will be declared winner. if both you and lunlun play optimally, which will win? 
"
p03200,"there are n reversi pieces arranged in a row. (a reversi piece is a disc with a black side and a white side.)
the state of each piece is represented by a string s of length n.
if s_i=b, the i-th piece from the left is showing black;
if s_i=w, the i-th piece from the left is showing white. consider performing the following operation: choose i (1 \leq i &lt; n) such that the i-th piece from the left is showing black and the (i+1)-th piece from the left is showing white, then flip both of those pieces. that is, the i-th piece from the left is now showing white and the (i+1)-th piece from the left is now showing black. find the maximum possible number of times this operation can be performed. 
"
p03206,"in some other world, today is december d-th. write a program that prints christmas if d = 25, christmas eve if d = 24, christmas eve eve if d = 23 and christmas eve eve eve if d = 22. 
"
p03207,"in some other world, today is the day before christmas eve. mr. takaha is buying n items at a department store. the regular price of the i-th item (1 \leq i \leq n) is p_i yen (the currency of japan). he has a discount coupon, and can buy one item with the highest price for half the regular price. the remaining n-1 items cost their regular prices. what is the total amount he will pay? 
"
p03208,"in some other world, today is christmas eve. there are n trees planted in mr. takaha's garden. the height of the i-th tree (1 \leq i \leq n) is h_i meters. he decides to choose k trees from these trees and decorate them with electric lights. to make the scenery more beautiful, the heights of the decorated trees should be as close to each other as possible. more specifically, let the height of the tallest decorated tree be h_{max} meters, and the height of the shortest decorated tree be h_{min} meters. the smaller the value h_{max} - h_{min} is, the better. what is the minimum possible value of h_{max} - h_{min}? 
"
p03209,"in some other world, today is christmas. mr. takaha decides to make a multi-dimensional burger in his party. a level-l burger (l is an integer greater than or equal to 0) is the following thing: a level-0 burger is a patty. a level-l burger (l \geq 1) is a bun, a level-(l-1) burger, a patty, another level-(l-1) burger and another bun, stacked vertically in this order from the bottom. for example, a level-1 burger and a level-2 burger look like bpppb and bbpppbpbpppbb (rotated 90 degrees), where b and p stands for a bun and a patty. the burger mr. takaha will make is a level-n burger. lunlun the dachshund will eat x layers from the bottom of this burger (a layer is a patty or a bun). how many patties will she eat? 
"
p03210,"shichi-go-san (literally ""seven-five-three"") is a traditional event in a certain country to celebrate the growth of seven-, five- and three-year-old children. takahashi is now x years old. will his growth be celebrated in shichi-go-san this time? 
"
p03211,"there is a string s consisting of digits 1, 2, ..., 9.
lunlun, the dachshund, will take out three consecutive digits from s, treat them as a single integer x and bring it to her master. (she cannot rearrange the digits.) the master's favorite number is 753. the closer to this number, the better.
what is the minimum possible (absolute) difference between x and 753? 
"
p03212,"you are given an integer n. among the integers between 1 and n (inclusive), how many shichi-go-san numbers (literally ""seven-five-three numbers"") are there? here, a shichi-go-san number is a positive integer that satisfies the following condition: when the number is written in base ten, each of the digits 7, 5 and 3 appears at least once, and the other digits never appear. 

"
p03213,"you are given an integer n. among the divisors of n! (= 1 \times 2 \times ... \times n), how many shichi-go numbers (literally ""seven-five numbers"") are there? here, a shichi-go number is a positive integer that has exactly 75 divisors. 
"
p03214,"niwango-kun is an employee of dwango co., ltd.
one day, he is asked to generate a thumbnail from a video a user submitted.
to generate a thumbnail, he needs to select a frame of the video according to the following procedure: get an integer n and n integers a_0, a_1, ..., a_{n-1} as inputs. n denotes the number of the frames of the video, and each a_i denotes the representation of the i-th frame of the video. select t-th frame whose representation a_t is nearest to the average of all frame representations. if there are multiple such frames, select the frame with the smallest index. find the index t of the frame he should select to generate a thumbnail. 
"
p03215,"one day, niwango-kun, an employee of dwango co., ltd., found an integer sequence (a_1, ..., a_n) of length n.
he is interested in properties of the sequence a. for a nonempty contiguous subsequence a_l, ..., a_r (1 \leq l \leq r \leq n) of the sequence a, its beauty is defined as a_l + ... + a_r. niwango-kun wants to know the maximum possible value of the bitwise and of the beauties of k nonempty contiguous subsequences among all n(n+1)/2 nonempty contiguous subsequences. (subsequences may share elements.) find the maximum possible value for him. 
"
p03219,"there is a train going from station a to station b that costs x yen (the currency of japan). also, there is a bus going from station b to station c that costs y yen. joisino got a special ticket. with this ticket, she can take the bus for half the fare if she travels from station a to station b by train and then travels from station b to station c by bus. how much does it cost to travel from station a to station c if she uses this ticket? 
"
p03220,"a country decides to build a palace. in this country, the average temperature of a point at an elevation of x meters is t-x \times 0.006 degrees celsius. there are n places proposed for the place. the elevation of place i is h_i meters. among them, princess joisino orders you to select the place whose average temperature is the closest to a degrees celsius, and build the palace there. print the index of the place where the palace should be built. it is guaranteed that the solution is unique. 
"
p03221,"in republic of atcoder, there are n prefectures, and a total of m cities that belong to those prefectures. city i is established in year y_i and belongs to prefecture p_i. you can assume that there are no multiple cities that are established in the same year. it is decided to allocate a 12-digit id number to each city. if city i is the x-th established city among the cities that belong to prefecture i, the first six digits of the id number of city i is p_i, and the last six digits of the id number is x. here, if p_i or x (or both) has less than six digits, zeros are added to the left until it has six digits. find the id numbers for all the cities. note that there can be a prefecture with no cities. 
"
p03222,"amidakuji is a traditional method of lottery in japan. to make an amidakuji, we first draw w parallel vertical lines, and then draw horizontal lines that connect them. the length of each vertical line is h+1 [cm], and the endpoints of the horizontal lines must be at 1, 2, 3, ..., or h [cm] from the top of a vertical line. a valid amidakuji is an amidakuji that satisfies the following conditions: no two horizontal lines share an endpoint. the two endpoints of each horizontal lines must be at the same height. a horizontal line must connect adjacent vertical lines.  find the number of the valid amidakuji that satisfy the following condition, modulo 1\ 000\ 000\ 007: if we trace the path from the top of the leftmost vertical line to the bottom, always following horizontal lines when we encounter them, we reach the bottom of the k-th vertical line from the left. for example, in the following amidakuji, we will reach the bottom of the fourth vertical line from the left.  
"
p03227,"you are given a string s of length 2 or 3 consisting of lowercase english letters. if the length of the string is 2, print it as is; if the length is 3, print the string after reversing it. 
"
p03228,"in the beginning, takahashi has a cookies, and aoki has b cookies.
they will perform the following operation alternately, starting from takahashi: if the number of cookies in his hand is odd, eat one of those cookies; if the number is even, do nothing. then, give one-half of the cookies in his hand to the other person. find the numbers of cookies takahashi and aoki respectively have after performing k operations in total. 
"
p03229,"you are given n integers; the i-th of them is a_i.
find the maximum possible sum of the absolute differences between the adjacent elements after arranging these integers in a row in any order you like. 
"
p03230,"you are given an integer n. determine if there exists a tuple of subsets of \{1,2,...n\}, (s_1,s_2,...,s_k), that satisfies the following conditions: each of the integers 1,2,...,n is contained in exactly two of the sets s_1,s_2,...,s_k. any two of the sets s_1,s_2,...,s_k have exactly one element in common. if such a tuple exists, construct one such tuple. 
"
p03231,"you are given a string s of length n and another string t of length m.
these strings consist of lowercase english letters. a string x is called a good string when the following conditions are all met: let l be the length of x. l is divisible by both n and m. concatenating the 1-st, (\frac{l}{n}+1)-th, (2 \times \frac{l}{n}+1)-th, ..., ((n-1)\times\frac{l}{n}+1)-th characters of x, without changing the order, results in s. concatenating the 1-st, (\frac{l}{m}+1)-th, (2 \times \frac{l}{m}+1)-th, ..., ((m-1)\times\frac{l}{m}+1)-th characters of x, without changing the order, results in t. determine if there exists a good string. if it exists, find the length of the shortest such string. 
"
p03238,"in 2020, atcoder inc. with an annual sales of more than one billion yen (the currency of japan) has started a business in programming education.
one day, there was an exam where a one-year-old child must write a program that prints hello world, and a two-year-old child must write a program that receives integers a, b and prints a+b.
takahashi, who is taking this exam, suddenly forgets his age.
he decides to write a program that first receives his age n (1 or 2) as input, then prints hello world if n=1, and additionally receives integers a, b and prints a+b if n=2.
write this program for him.   
"
p03239,"when mr. x is away from home, he has decided to use his smartwatch to search the best route to go back home, to participate in abc. you, the smartwatch, has found n routes to his home. if mr. x uses the i-th of these routes, he will get home in time t_i at cost c_i. find the smallest cost of a route that takes not longer than time t. 
"
p03240,"in the ancient kingdom of snuke, there was a pyramid to strengthen the authority of takahashi, the president of atcoder inc.
the pyramid had center coordinates (c_x, c_y) and height h. the altitude of coordinates (x, y) is max(h - |x - c_x| - |y - c_y|, 0).   aoki, an explorer, conducted a survey to identify the center coordinates and height of this pyramid. as a result, he obtained the following information:   c_x, c_y was integers between 0 and 100 (inclusive), and h was an integer not less than 1.   additionally, he obtained n pieces of information. the i-th of them is: ""the altitude of point (x_i, y_i) is h_i.""   this was enough to identify the center coordinates and the height of the pyramid. find these values with the clues above.   
"
p03241,"you are given integers n and m. consider a sequence a of length n consisting of positive integers such that a_1 + a_2 + ... + a_n = m. find the maximum possible value of the greatest common divisor of a_1, a_2, ..., a_n. 
"
p03242,"cat snuke is learning to write characters.
today, he practiced writing digits 1 and 9, but he did it the other way around. you are given a three-digit integer n written by snuke.
print the integer obtained by replacing each digit 1 with 9 and each digit 9 with 1 in n. 
"
p03243,"kurohashi has never participated in atcoder beginner contest (abc). the next abc to be held is abc n (the n-th abc ever held).
kurohashi wants to make his debut in some abc x such that all the digits of x in base ten are the same. what is the earliest abc where kurohashi can make his debut? 
"
p03244,"a sequence a_1,a_2,... ,a_n is said to be /\/\/\/ when the following conditions are satisfied: for each i = 1,2,..., n-2, a_i = a_{i+2}. exactly two different numbers appear in the sequence. you are given a sequence v_1,v_2,...,v_n whose length is even.
we would like to make this sequence /\/\/\/ by replacing some of its elements.
find the minimum number of elements that needs to be replaced. 
"
p03250,"you have decided to give an allowance to your child depending on the outcome of the game that he will play now. the game is played as follows: there are three ""integer panels"", each with a digit between 1 and 9 (inclusive) printed on it, and one ""operator panel"" with a + printed on it. the player should construct a formula of the form x + y, by arranging the four panels from left to right. (the operator panel should not be placed at either end of the formula.) then, the amount of the allowance will be equal to the resulting value of the formula. given the values a, b and c printed on the integer panels used in the game, find the maximum possible amount of the allowance. 
"
p03251,"our world is one-dimensional, and ruled by two empires called empire a and empire b. the capital of empire a is located at coordinate x, and that of empire b is located at coordinate y. one day, empire a becomes inclined to put the cities at coordinates x_1, x_2, ..., x_n under its control, and empire b becomes inclined to put the cities at coordinates y_1, y_2, ..., y_m under its control. if there exists an integer z that satisfies all of the following three conditions, they will come to an agreement, but otherwise war will break out. x &lt; z \leq y x_1, x_2, ..., x_n &lt; z y_1, y_2, ..., y_m \geq z determine if war will break out. 
"
p03252,"you are given strings s and t consisting of lowercase english letters. you can perform the following operation on s any number of times: operation: choose two distinct lowercase english letters c_1 and c_2, then replace every occurrence of c_1 with c_2, and every occurrence of c_2 with c_1. determine if s and t can be made equal by performing the operation zero or more times. 
"
p03253,"you are given positive integers n and m. how many sequences a of length n consisting of positive integers satisfy a_1 \times a_2 \times ... \times a_n = m? find the count modulo 10^9+7. here, two sequences a' and a'' are considered different when there exists some i such that a_i' \neq a_i''. 
"
p03254,"there are n children, numbered 1, 2, ..., n. snuke has decided to distribute x sweets among them.
he needs to give out all the x sweets, but some of the children may get zero sweets. for each i (1 \leq i \leq n), child i will be happy if he/she gets exactly a_i sweets.
snuke is trying to maximize the number of happy children by optimally distributing the sweets.
find the maximum possible number of happy children. 
"
p03260,"you are given integers a and b, each between 1 and 3 (inclusive). determine if there is an integer c between 1 and 3 (inclusive) such that a \times b \times c is an odd number. 
"
p03261,"takahashi is practicing shiritori alone again today. shiritori is a game as follows: in the first turn, a player announces any one word. that word is not announced before. the first character of that word is the same as the last character of the last word announced. 

 in this game, he is practicing to announce as many words as possible in ten seconds. you are given the number of words takahashi announced, n, and the i-th word he announced, w_i, for each i. determine if the rules of shiritori was observed, that is, every word announced by him satisfied the conditions. 
"
p03262,"there are n cities on a number line. the i-th city is located at coordinate x_i. your objective is to visit all these cities at least once. in order to do so, you will first set a positive integer d. then, you will depart from coordinate x and perform move 1 and move 2 below, as many times as you like: move 1: travel from coordinate y to coordinate y + d. move 2: travel from coordinate y to coordinate y - d. find the maximum value of d that enables you to visit all the cities. here, to visit a city is to travel to the coordinate where that city is located. 
"
p03263,"there is a grid of square cells with h horizontal rows and w vertical columns. the cell at the i-th row and the j-th column will be denoted as cell (i, j). in cell (i, j), a_{ij} coins are placed. you can perform the following operation any number of times: operation: choose a cell that was not chosen before and contains one or more coins, then move one of those coins to a vertically or horizontally adjacent cell. maximize the number of cells containing an even number of coins. 
"
p03264,"find the number of ways to choose a pair of an even number and an odd number from the positive integers between 1 and k (inclusive). the order does not matter. 
"
p03265,"there is a square in the xy-plane. the coordinates of its four vertices are (x_1,y_1),(x_2,y_2),(x_3,y_3) and (x_4,y_4) in counter-clockwise order.
(assume that the positive x-axis points right, and the positive y-axis points up.) takahashi remembers (x_1,y_1) and (x_2,y_2), but he has forgot (x_3,y_3) and (x_4,y_4). given x_1,x_2,y_1,y_2, restore x_3,y_3,x_4,y_4. it can be shown that x_3,y_3,x_4 and y_4 uniquely exist and have integer values. 
"
p03266,"you are given integers n and k. find the number of triples (a,b,c) of positive integers not greater than n such that a+b,b+c and c+a are all multiples of k.
the order of a,b,c does matter, and some of them can be the same. 
"
p03267,"you are given an integer l. construct a directed graph that satisfies the conditions below. the graph may contain multiple edges between the same pair of vertices. it can be proved that such a graph always exists. the number of vertices, n, is at most 20. the vertices are given id numbers from 1 to n. the number of edges, m, is at most 60. each edge has an integer length between 0 and 10^6 (inclusive). every edge is directed from the vertex with the smaller id to the vertex with the larger id. that is, 1,2,...,n is one possible topological order of the vertices. there are exactly l different paths from vertex 1 to vertex n. the lengths of these paths are all different, and they are integers between 0 and l-1. here, the length of a path is the sum of the lengths of the edges contained in that path, and two paths are considered different when the sets of the edges contained in those paths are different. 
"
p03268,"you are given integers n and k. find the number of triples (a,b,c) of positive integers not greater than n such that a+b,b+c and c+a are all multiples of k.
the order of a,b,c does matter, and some of them can be the same. 
"
p03272,"there is an n-car train. you are given an integer i. find the value of j such that the following statement is true: ""the i-th car from the front of the train is the j-th car from the back."" 
"
p03273,"there is a grid of squares with h horizontal rows and w vertical columns.
the square at the i-th row from the top and the j-th column from the left is represented as (i, j).
each square is black or white.
the color of the square is given as an h-by-w matrix (a_{i, j}).
if a_{i, j} is ., the square (i, j) is white; if a_{i, j} is #, the square (i, j) is black. snuke is compressing this grid.
he will do so by repeatedly performing the following operation while there is a row or column that consists only of white squares: operation: choose any one row or column that consists only of white squares, remove it and delete the space between the rows or columns. it can be shown that the final state of the grid is uniquely determined regardless of what row or column is chosen in each operation.
find the final state of the grid. 
"
p03274,"there are n candles placed on a number line.
the i-th candle from the left is placed on coordinate x_i.
here, x_1 &lt; x_2 &lt; ... &lt; x_n holds. initially, no candles are burning.
snuke decides to light k of the n candles. now, he is at coordinate 0.
he can move left and right along the line with speed 1.
he can also light a candle when he is at the same position as the candle, in negligible time. find the minimum time required to light k candles. 
"
p03280,"there is a farm whose length and width are a yard and b yard, respectively. a farmer, john, made a vertical road and a horizontal road inside the farm from one border to another, as shown below: (the gray part represents the roads.)  what is the area of this yard excluding the roads? find it. 
"
p03281,"the number 105 is quite special - it is odd but still it has eight divisors.
now, your task is this: how many odd numbers with exactly eight positive divisors are there between 1 and n (inclusive)? 
"
p03282,"mr. infinity has a string s consisting of digits from 1 to 9. each time the date changes, this string changes as follows: each occurrence of 2 in s is replaced with 22. similarly, each 3 becomes 333, 4 becomes 4444, 5 becomes 55555, 6 becomes 666666, 7 becomes 7777777, 8 becomes 88888888 and 9 becomes 999999999. 1 remains as 1. for example, if s is 1324, it becomes 1333224444 the next day, and it becomes 133333333322224444444444444444 the day after next.
you are interested in what the string looks like after 5 \times 10^{15} days. what is the k-th character from the left in the string after 5 \times 10^{15} days? 
"
p03283,"in takahashi kingdom, there is a east-west railroad and n cities along it, numbered 1, 2, 3, ..., n from west to east.
a company called atcoder express possesses m trains, and the train i runs from city l_i to city r_i (it is possible that l_i = r_i).
takahashi the king is interested in the following q matters: the number of the trains that runs strictly within the section from city p_i to city q_i, that is, the number of trains j such that p_i \leq l_j and r_j \leq q_i. although he is genius, this is too much data to process by himself. find the answer for each of these q queries to help him. 
"
p03284,"takahashi has decided to distribute n atcoder crackers to k users of as evenly as possible.
when all the crackers are distributed, find the minimum possible (absolute) difference between the largest number of crackers received by a user and the smallest number received by a user. 
"
p03285,"la confiserie d'abc sells cakes at 4 dollars each and doughnuts at 7 dollars each.
determine if there is a way to buy some of them for exactly n dollars. you can buy two or more doughnuts and two or more cakes, and you can also choose to buy zero doughnuts or zero cakes. 
"
p03286,"given an integer n, find the base -2 representation of n. here, s is the base -2 representation of n when the following are all satisfied: s is a string consisting of 0 and 1. unless s = 0, the initial character of s is 1. let s = s_k s_{k-1} ... s_0, then s_0 \times (-2)^0 + s_1 \times (-2)^1 + ... + s_k \times (-2)^k = n. it can be proved that, for any integer m, the base -2 representation of m is uniquely determined. 
"
p03287,"there are n boxes arranged in a row from left to right. the i-th box from the left contains a_i candies. you will take out the candies from some consecutive boxes and distribute them evenly to m children. such being the case, find the number of the pairs (l, r) that satisfy the following: l and r are both integers and satisfy 1 \leq l \leq r \leq n. a_l + a_{l+1} + ... + a_r is a multiple of m. 

"
p03288,"a programming competition site atcode regularly holds programming contests. the next contest on atcode is called abc, which is rated for contestants with ratings less than 1200. the contest after the abc is called arc, which is rated for contestants with ratings less than 2800. the contest after the arc is called agc, which is rated for all contestants. takahashi's rating on atcode is r. what is the next contest rated for him? 
"
p03289,"you are given a string s. each character of s is uppercase or lowercase english letter.
determine if s satisfies all of the following conditions: the initial character of s is an uppercase a. there is exactly one occurrence of c between the third character from the beginning and the second to last character (inclusive). all letters except the a and c mentioned above are lowercase. 

"
p03290,"a programming competition site atcode provides algorithmic problems.
each problem is allocated a score based on its difficulty.
currently, for each integer i between 1 and d (inclusive), there are p_i problems with a score of 100i points.
these p_1 + … + p_d problems are all of the problems available on atcode. a user of atcode has a value called total score.
the total score of a user is the sum of the following two elements: base score: the sum of the scores of all problems solved by the user. perfect bonuses: when a user solves all problems with a score of 100i points, he/she earns the perfect bonus of c_i points, aside from the base score (1 ≤ i ≤ d). takahashi, who is the new user of atcode, has not solved any problem.
his objective is to have a total score of g or more points.
at least how many problems does he need to solve for this objective? 
"
p03292,"you have three tasks, all of which need to be completed. first, you can complete any one task at cost 0. then, just after completing the i-th task, you can complete the j-th task at cost |a_j - a_i|. here, |x| denotes the absolute value of x. find the minimum total cost required to complete all the task. 
"
p03293,"you are given string s and t consisting of lowercase english letters. determine if s equals t after rotation. that is, determine if s equals t after the following operation is performed some number of times: operation: let s = s_1 s_2 ... s_{|s|}. change s to s_{|s|} s_1 s_2 ... s_{|s|-1}. here, |x| denotes the length of the string x. 
"
p03294,"you are given n positive integers a_1, a_2, ..., a_n. for a non-negative integer m, let f(m) = (m\ mod\ a_1) + (m\ mod\ a_2) + ... + (m\ mod\ a_n). here, x\ mod\ y denotes the remainder of the division of x by y. find the maximum value of f. 
"
p03295,"there are n islands lining up from west to east, connected by n-1 bridges. the i-th bridge connects the i-th island from the west and the (i+1)-th island from the west. one day, disputes took place between some islands, and there were m requests from the inhabitants of the islands: request i: a dispute took place between the a_i-th island from the west and the b_i-th island from the west. please make traveling between these islands with bridges impossible. you decided to remove some bridges to meet all these m requests. find the minimum number of bridges that must be removed. 
"
