index,Final_title,Final_description
p03322, Eating Symbols Hard,"in takahashi's mind, there is always an integer sequence of length 2 \times 10^9 + 1: a = (a_{-10^9}, a_{-10^9 + 1}, ..., a_{10^9 - 1}, a_{10^9}) and an integer p. initially, all the elements in the sequence a in takahashi's mind are 0, and the value of the integer p is 0. when takahashi eats symbols +, -, &gt; and &lt;, the sequence a and the integer p will change as follows: when he eats +, the value of a_p increases by 1; when he eats -, the value of a_p decreases by 1; when he eats &gt;, the value of p increases by 1; when he eats &lt;, the value of p decreases by 1. takahashi has a string s of length n. each character in s is one of the symbols +, -, &gt; and &lt;.
he chose a pair of integers (i, j) such that 1 \leq i \leq j \leq n and ate the symbols that are the i-th, (i+1)-th, ..., j-th characters in s, in this order.
we heard that, after he finished eating, the sequence a became the same as if he had eaten all the symbols in s from first to last.
how many such possible pairs (i, j) are there? 
"
p03323, Happy Birthday!,"e869120's and square1001's 16-th birthday is coming soon.
takahashi from atcoder kingdom gave them a round cake cut into 16 equal fan-shaped pieces. e869120 and square1001 were just about to eat a and b of those pieces, respectively,
when they found a note attached to the cake saying that ""the same person should not take two adjacent pieces of cake"". can both of them obey the instruction in the note and take desired numbers of pieces of cake? 
"
p03324, Ringo's Favorite Numbers,"today, the memorable atcoder beginner contest 100 takes place. on this occasion, takahashi would like to give an integer to ringo.
as the name of the contest is atcoder beginner contest 100, ringo would be happy if he is given a positive integer that can be divided by 100 exactly d times. find the n-th smallest integer that would make ringo happy. 
"
p03325, *3 or /2,"as atcoder beginner contest 100 is taking place, the office of atcoder, inc. is decorated with a sequence of length n, a = {a_1, a_2, a_3, ..., a_n}.
snuke, an employee, would like to play with this sequence. specifically, he would like to repeat the following operation as many times as possible: at most how many operations can be performed? 
"
p03326, Patisserie ABC,"takahashi became a pastry chef and opened a shop la confiserie d'abc to celebrate atcoder beginner contest 100. the shop sells n kinds of cakes.
each kind of cake has three parameters ""beauty"", ""tastiness"" and ""popularity"". the i-th kind of cake has the beauty of x_i, the tastiness of y_i and the popularity of z_i.
these values may be zero or negative. ringo has decided to have m pieces of cakes here. he will choose the set of cakes as follows: do not have two or more pieces of the same kind of cake. under the condition above, choose the set of cakes to maximize (the absolute value of the total beauty) + (the absolute value of the total tastiness)  + (the absolute value of the total popularity). find the maximum possible value of (the absolute value of the total beauty) + (the absolute value of the total tastiness) + (the absolute value of the total popularity) for the set of cakes that ringo chooses. 
"
p03327, ABD,"decades have passed since the beginning of atcoder beginner contest. the contests are labeled as abc001, abc002, ... from the first round, but after the 999-th round abc999, a problem occurred: how the future rounds should be labeled? in the end, the labels for the rounds from the 1000-th to the 1998-th are decided: abd001, abd002, ..., abd999. you are given an integer n between 1 and 1998 (inclusive). print the first three characters of the label of the n-th round of atcoder beginner contest. 
"
p03328, Stone Monument,"in some village, there are 999 towers that are 1,(1+2),(1+2+3),...,(1+2+3+...+999) meters high from west to east, at intervals of 1 meter. it had been snowing for a while before it finally stopped. for some two adjacent towers located 1 meter apart, we measured the lengths of the parts of those towers that are not covered with snow, and the results are a meters for the west tower, and b meters for the east tower. assuming that the depth of snow cover and the altitude are the same everywhere in the village, find the amount of the snow cover. assume also that the depth of the snow cover is always at least 1 meter. 
"
p03329, Strange Bank,"to make it difficult to withdraw money, a certain bank allows its customers to withdraw only one of the following amounts in one operation: 1 yen (the currency of japan) 
 6 yen, 6^2(=36) yen, 6^3(=216) yen, ... 
 9 yen, 9^2(=81) yen, 9^3(=729) yen, ... 
 at least how many operations are required to withdraw exactly n yen in total? it is not allowed to re-deposit the money you withdrew. 
"
p03330, Good Grid,"there is a grid with n rows and n columns of squares. let (i,j) be the square at the i-th row from the top and the j-th column from the left. these squares have to be painted in one of the c colors from color 1 to color c. initially, (i,j) is painted in color c_{i,j}. we say the grid is a good grid when the following condition is met for all i,j,x,y satisfying 1 \leq i,j,x,y \leq n: if (i+j) \% 3=(x+y) \% 3, the color of (i,j) and the color of (x,y) are the same. if (i+j) \%  3 \neq (x+y) \% 3, the color of (i,j) and the color of (x,y) are different. here, x \% y represents x modulo y. we will repaint zero or more squares so that the grid will be a good grid. for a square, the wrongness when the color of the square is x before repainting and y after repainting, is d_{x,y}. find the minimum possible sum of the wrongness of all the squares. 
"
p03331, Digits Sum,"takahashi has two positive integers a and b. it is known that a plus b equals n.
find the minimum possible value of ""the sum of the digits of a"" plus ""the sum of the digits of b"" (in base 10). 
"
p03332, RGB Coloring,"takahashi has a tower which is divided into n layers.
initially, all the layers are uncolored. takahashi is going to paint some of the layers in red, green or blue to make a beautiful tower.
he defines the beauty of the tower as follows: the beauty of the tower is the sum of the scores of the n layers, where the score of a layer is a if the layer is painted red, a+b if the layer is painted green, b if the layer is painted blue, and 0 if the layer is uncolored. here, a and b are positive integer constants given beforehand. also note that a layer may not be painted in two or more colors. takahashi is planning to paint the tower so that the beauty of the tower becomes exactly k.
how many such ways are there to paint the tower? find the count modulo 998244353.
two ways to paint the tower are considered different when there exists a layer that is painted in different colors, or a layer that is painted in some color in one of the ways and not in the other. 
"
p03333, Interval Game,"takahashi and aoki will play a game with a number line and some segments.
takahashi is standing on the number line and he is initially at coordinate 0.
aoki has n segments. the i-th segment is [l_i,r_i], that is, a segment consisting of points with coordinates between l_i and r_i (inclusive). the game has n steps. the i-th step proceeds as follows: first, aoki chooses a segment that is still not chosen yet from the n segments and tells it to takahashi. then, takahashi walks along the number line to some point within the segment chosen by aoki this time. after n steps are performed, takahashi will return to coordinate 0 and the game ends. let k be the total distance traveled by takahashi throughout the game. aoki will choose segments so that k will be as large as possible, and takahashi walks along the line so that k will be as small as possible. what will be the value of k in the end? 
"
p03334, Choosing Points,"takahashi is doing a research on sets of points in a plane.
takahashi thinks a set s of points in a coordinate plane is a good set when s satisfies both of the following conditions: the distance between any two points in s is not \sqrt{d_1}. the distance between any two points in s is not \sqrt{d_2}. here, d_1 and d_2 are positive integer constants that takahashi specified. let x be a set of points (i,j) on a coordinate plane where i and j are integers and satisfy 0 ≤ i,j &lt; 2n. takahashi has proved that, for any choice of d_1 and d_2, there exists a way to choose n^2 points from x so that the chosen points form a good set.
however, he does not know the specific way to choose such points to form a good set.
find a subset of x whose size is n^2 that forms a good set. 
"
p03335, Walking on a Tree,"takahashi loves walking on a tree.
the tree where takahashi walks has n vertices numbered 1 through n.
the i-th of the n-1 edges connects vertex a_i and vertex b_i. takahashi has scheduled m walks. the i-th walk is done as follows: the walk involves two vertices u_i and v_i that are fixed beforehand. takahashi will walk from u_i to v_i or from v_i to u_i along the shortest path. the happiness gained from the i-th walk is defined as follows: in the previous walks, the edge has never been traversed. in the previous walks, the edge has only been traversed in the direction opposite to the direction taken in the i-th walk. 

 takahashi would like to decide the direction of each walk so that the total happiness gained from the m walks is maximized.
find the maximum total happiness that can be gained, and one specific way to choose the directions of the walks that maximizes the total happiness. 
"
p03336, Addition and Andition,"takahashi and aoki love calculating things, so they will play with numbers now. first, they came up with one positive integer each. takahashi came up with x, and aoki came up with y.
then, they will enjoy themselves by repeating the following operation k times: compute the bitwise and of the number currently kept by takahashi and the number currently kept by aoki. let z be the result. then, add z to both of the numbers kept by takahashi and aoki. however, it turns out that even for the two math maniacs this is just too much work.
could you find the number that would be kept by takahashi and the one that would be kept by aoki eventually? note that input and output are done in binary.
especially, x and y are given as strings s and t of length n and m consisting of 0 and 1, respectively, whose initial characters are guaranteed to be 1. 
"
p03337, Add Sub Mul,"you are given two integers a and b.
find the largest value among a+b, a-b and a \times b. 
"
p03338, Cut and Count,"you are given a string s of length n consisting of lowercase english letters.
we will cut this string at one position into two strings x and y.
here, we would like to maximize the number of different letters contained in both x and y.
find the largest possible number of different letters contained in both x and y when we cut the string at the optimal position. 
"
p03339, Attention,"there are n people standing in a row from west to east.
each person is facing east or west.
the directions of the people is given as a string s of length n.
the i-th person from the west is facing east if s_i = e, and west if s_i = w. you will appoint one of the n people as the leader, then command the rest of them to face in the direction of the leader.
here, we do not care which direction the leader is facing. the people in the row hate to change their directions, so you would like to select the leader so that the number of people who have to change their directions is minimized.
find the minimum number of people who have to change their directions. 
"
p03340, Xor Sum 2,"there is an integer sequence a of length n. find the number of the pairs of integers l and r (1 \leq l \leq r \leq n) that satisfy the following condition: a_l\ xor\ a_{l+1}\ xor\ ...\ xor\ a_r = a_l\ +\ a_{l+1}\ +\ ...\ +\ a_r here, xor denotes the bitwise exclusive or. 
definition of xor the xor of integers c_1, c_2, ..., c_m is defined as follows: let the xor be x. in the binary representation of x, the digit in the 2^k's place (0 \leq k; k is an integer) is 1 if there are an odd number of integers among c_1, c_2, ...c_m whose binary representation has 1 in the 2^k's place, and 0 if that number is even. for example, let us compute the xor of 3 and 5. the binary representation of 3 is 011, and the binary representation of 5 is 101, thus the xor has the binary representation 110, that is, the xor is 6.  "
p03341, Attention,"there are n people standing in a row from west to east.
each person is facing east or west.
the directions of the people is given as a string s of length n.
the i-th person from the west is facing east if s_i = e, and west if s_i = w. you will appoint one of the n people as the leader, then command the rest of them to face in the direction of the leader.
here, we do not care which direction the leader is facing. the people in the row hate to change their directions, so you would like to select the leader so that the number of people who have to change their directions is minimized.
find the minimum number of people who have to change their directions. 
"
p03342, Xor Sum 2,"there is an integer sequence a of length n. find the number of the pairs of integers l and r (1 \leq l \leq r \leq n) that satisfy the following condition: a_l\ xor\ a_{l+1}\ xor\ ...\ xor\ a_r = a_l\ +\ a_{l+1}\ +\ ...\ +\ a_r here, xor denotes the bitwise exclusive or. 
definition of xor the xor of integers c_1, c_2, ..., c_m is defined as follows: let the xor be x. in the binary representation of x, the digit in the 2^k's place (0 \leq k; k is an integer) is 1 if there are an odd number of integers among c_1, c_2, ...c_m whose binary representation has 1 in the 2^k's place, and 0 if that number is even. for example, let us compute the xor of 3 and 5. the binary representation of 3 is 011, and the binary representation of 5 is 101, thus the xor has the binary representation 110, that is, the xor is 6.  "
p03343, Range Minimum Queries,"you are given an integer sequence a of length n and an integer k.
you will perform the following operation on this sequence q times: choose a contiguous subsequence of length k, then remove the smallest element among the k elements contained in the chosen subsequence (if there are multiple such elements, choose one of them as you like). let x and y be the values of the largest and smallest element removed in the q operations. you would like x-y to be as small as possible.
find the smallest possible value of x-y when the q operations are performed optimally. 
"
p03344, Donation,"there is a simple undirected graph with n vertices and m edges.
the vertices are numbered 1 through n, and the edges are numbered 1 through m.
edge i connects vertex u_i and v_i.
also, vertex i has two predetermined integers a_i and b_i.
you will play the following game on this graph. first, choose one vertex and stand on it, with w yen (the currency of japan) in your pocket.
here, a_s \leq w must hold, where s is the vertex you choose.
then, perform the following two kinds of operations any number of times in any order: choose one vertex v that is directly connected by an edge to the vertex you are standing on, and move to vertex v. here, you need to have at least a_v yen in your pocket when you perform this move. donate b_v yen to the vertex v you are standing on. here, the amount of money in your pocket must not become less than 0 yen. you win the game when you donate once to every vertex.
find the smallest initial amount of money w that enables you to win the game. 
"
p03345, Fairness,"takahashi, nakahashi and hikuhashi have integers a, b and c, respectively.
after repeating the following operation k times, find the integer takahashi will get minus the integer nakahashi will get: each of them simultaneously calculate the sum of the integers that the other two people have, then replace his own integer with the result. however, if the absolute value of the answer exceeds 10^{18}, print unfair instead. 
"
p03346, Backfront,"you are given a sequence (p_1,p_2,...,p_n) which is a permutation of the integers from 1 through n.
you would like to sort this sequence in ascending order by repeating the following operation: choose an element in the sequence and move it to the beginning or the end of the sequence. find the minimum number of operations required.
it can be proved that it is actually possible to sort the sequence using this operation. 
"
p03347, Sequence Growing Easy,"there is a sequence x of length n, where every element is initially 0. let x_i denote the i-th element of x. you are given a sequence a of length n. the i-th element of a is a_i. determine if we can make x equal to a by repeating the operation below. if we can, find the minimum number of operations required. choose an integer i such that 1\leq i\leq n-1. replace the value of x_{i+1} with the value of x_i plus 1. 

"
p03348, Isomorphism Freak,"coloring of the vertices of a tree g is called a good coloring when, for every pair of two vertices u and v painted in the same color, picking u as the root and picking v as the root would result in isomorphic rooted trees. also, the colorfulness of g is defined as the minimum possible number of different colors used in a good coloring of g. you are given a tree with n vertices. the vertices are numbered 1 through n, and the i-th edge connects vertex a_i and vertex b_i. we will construct a new tree t by repeating the following operation on this tree some number of times: add a new vertex to the tree by connecting it to one of the vertices in the current tree with an edge. find the minimum possible colorfulness of t.
additionally, print the minimum number of leaves (vertices with degree 1) in a tree t that achieves the minimum colorfulness. 
"
p03349, Sequence Growing Hard,"find the number of the possible tuples of sequences (a_0,a_1,...,a_n) that satisfy all of the following conditions, modulo m: for every i (0\leq i\leq n), a_i is a sequence of length i consisting of integers between 1 and k (inclusive); for every i (1\leq i\leq n), a_{i-1} is a subsequence of a_i, that is, there exists 1\leq x_i\leq i such that the removal of the x_i-th element of a_i would result in a sequence equal to a_{i-1}; for every i (1\leq i\leq n), a_i is lexicographically larger than a_{i-1}. 

"
p03350, Simple Subsequence Problem,"you are given a set s of strings consisting of 0 and 1, and an integer k. find the longest string that is a subsequence of k or more different strings in s.
if there are multiple strings that satisfy this condition, find the lexicographically smallest such string. here, s is given in the format below: the data directly given to you is an integer n, and n+1 strings x_0,x_1,...,x_n. for every i (0\leq i\leq n), the length of x_i is 2^i. for every pair of two integers (i,j) (0\leq i\leq n,0\leq j\leq 2^i-1), the j-th character of x_i is 1 if and only if the binary representation of j with i digits (possibly with leading zeros) belongs to s. here, the first and last characters in x_i are called the 0-th and (2^i-1)-th characters, respectively. s does not contain a string with length n+1 or more. here, a string a is a subsequence of another string b when there exists a sequence of integers t_1 &lt; ... &lt; t_{|a|} such that, for every i (1\leq i\leq |a|), the i-th character of a and the t_i-th character of b is equal. 
"
p03351, Colorful Transceivers,"three people, a, b and c, are trying to communicate using transceivers.
they are standing along a number line, and the coordinates of a, b and c are a, b and c (in meters), respectively.
two people can directly communicate when the distance between them is at most d meters.
determine if a and c can communicate, either directly or indirectly.
here, a and c can indirectly communicate when a and b can directly communicate and also b and c can directly communicate. 
"
p03352, Exponential,"you are given a positive integer x.
find the largest perfect power that is at most x.
here, a perfect power is an integer that can be represented as b^p, where b is an integer not less than 1 and p is an integer not less than 2. 
"
p03353,th Substring,"you are given a string s.
among the different substrings of s, print the k-th lexicographically smallest one. a substring of s is a string obtained by taking out a non-empty contiguous part in s.
for example, if s = ababc, a, bab and ababc are substrings of s, while ac, z and an empty string are not.
also, we say that substrings are different when they are different as strings. let x = x_{1}x_{2}...x_{n} and y = y_{1}y_{2}...y_{m} be two distinct strings. x is lexicographically larger than y if and only if y is a prefix of x or x_{j} &gt; y_{j} where j is the smallest integer such that x_{j} \neq y_{j}. 
"
p03354, Equals,"we have a permutation of the integers from 1 through n, p_1, p_2, .., p_n.
we also have m pairs of two integers between 1 and n (inclusive), represented as (x_1,y_1), (x_2,y_2), .., (x_m,y_m).
atcodeer the deer is going to perform the following operation on p as many times as desired so that the number of i (1 ≤ i ≤ n) such that p_i = i is maximized: choose j such that 1 ≤ j ≤ m, and swap p_{x_j} and p_{y_j}. find the maximum possible number of i such that p_i = i after operations. 
"
p03355,th Substring,"you are given a string s.
among the different substrings of s, print the k-th lexicographically smallest one. a substring of s is a string obtained by taking out a non-empty contiguous part in s.
for example, if s = ababc, a, bab and ababc are substrings of s, while ac, z and an empty string are not.
also, we say that substrings are different when they are different as strings. let x = x_{1}x_{2}...x_{n} and y = y_{1}y_{2}...y_{m} be two distinct strings. x is lexicographically larger than y if and only if y is a prefix of x or x_{j} &gt; y_{j} where j is the smallest integer such that x_{j} \neq y_{j}. 
"
p03356, Equals,"we have a permutation of the integers from 1 through n, p_1, p_2, .., p_n.
we also have m pairs of two integers between 1 and n (inclusive), represented as (x_1,y_1), (x_2,y_2), .., (x_m,y_m).
atcodeer the deer is going to perform the following operation on p as many times as desired so that the number of i (1 ≤ i ≤ n) such that p_i = i is maximized: choose j such that 1 ≤ j ≤ m, and swap p_{x_j} and p_{y_j}. find the maximum possible number of i such that p_i = i after operations. 
"
p03357, Sorted and Sorted,"there are 2n balls, n white and n black, arranged in a row. the integers from 1 through n are written on the white balls, one on each ball, and they are also written on the black balls, one on each ball.
the integer written on the i-th ball from the left (1 ≤ i ≤ 2n) is a_i, and the color of this ball is represented by a letter c_i.
c_i = w represents the ball is white; c_i = b represents the ball is black. takahashi the human wants to achieve the following objective: for every pair of integers (i,j) such that 1 ≤ i &lt; j ≤ n, the white ball with i written on it is to the left of the white ball with j written on it. for every pair of integers (i,j) such that 1 ≤ i &lt; j ≤ n, the black ball with i written on it is to the left of the black ball with j written on it. in order to achieve this, he can perform the following operation: swap two adjacent balls. find the minimum number of operations required to achieve the objective. 
"
p03358, Monochrome Cat,"there is a tree with n vertices numbered 1 through n.
the i-th edge connects vertex x_i and y_i.
each vertex is painted white or black.
the initial color of vertex i is represented by a letter c_i.
c_i = w represents the vertex is white; c_i = b represents the vertex is black. a cat will walk along this tree.
more specifically, she performs one of the following in one second repeatedly: choose a vertex that is adjacent to the vertex where she is currently, and move to that vertex. then, invert the color of the destination vertex. invert the color of the vertex where she is currently. the cat's objective is to paint all the vertices black. she may start and end performing actions at any vertex.
at least how many seconds does it takes for the cat to achieve her objective? 
"
p03359, Day of Takahashi,"in atcoder kingdom, gregorian calendar is used, and dates are written in the ""year-month-day"" order, or the ""month-day"" order without the year.
for example, may 3, 2018 is written as 2018-5-3, or 5-3 without the year.   in this country, a date is called takahashi when the month and the day are equal as numbers. for example, 5-5 is takahashi.
how many days from 2018-1-1 through 2018-a-b are takahashi? 
"
p03360, Maximum Sum,"there are three positive integers a, b and c written on a blackboard. e869120 performs the following operation k times: choose one integer written on the blackboard and let the chosen integer be n. replace the chosen integer with 2n. what is the largest possible sum of the integers written on the blackboard after k operations? 
"
p03361, Grid Repainting 2,"we have a canvas divided into a grid with h rows and w columns. the square at the i-th row from the top and the j-th column from the left is represented as (i, j).
initially, all the squares are white. square1001 wants to draw a picture with black paint. his specific objective is to make square (i, j) black when s_{i, j}= #, and to make square (i, j) white when s_{i, j}= ..
however, since he is not a good painter, he can only choose two squares that are horizontally or vertically adjacent and paint those squares black, for some number of times (possibly zero). he may choose squares that are already painted black, in which case the color of those squares remain black.
determine if square1001 can achieve his objective.   
"
p03362, Five  Five Everywhere,"print a sequence a_1, a_2, ..., a_n whose length is n that satisfies the following conditions: a_i (1 \leq i \leq n) is a prime number at most 55 555. the values of a_1, a_2, ..., a_n are all different. in every choice of five different integers from a_1, a_2, ..., a_n, the sum of those integers is a composite number. if there are multiple such sequences, printing any of them is accepted. 
"
p03363,Sum Ranges,"we have an integer sequence a, whose length is n. find the number of the non-empty contiguous subsequences of a whose sums are 0.
note that we are counting the ways to take out subsequences.
that is, even if the contents of some two subsequences are the same, they are counted individually if they are taken from different positions. 
"
p03364, Find Symmetries,"snuke has two boards, each divided into a grid with n rows and n columns.
for both of these boards, the square at the i-th row from the top and the j-th column from the left is called square (i,j). there is a lowercase english letter written in each square on the first board. the letter written in square (i,j) is s_{i,j}. on the second board, nothing is written yet. snuke will write letters on the second board, as follows: first, choose two integers a and b ( 0 \leq a, b &lt; n ). write one letter in each square on the second board.
specifically, write the letter written in square ( i+a, j+b ) on the first board into square (i,j) on the second board.
here, the k-th row is also represented as the (n+k)-th row, and the k-th column is also represented as the (n+k)-th column. after this operation, the second board is called a good board when, for every i and j ( 1 \leq i, j \leq n ), the letter in square (i,j) and the letter in square (j,i) are equal. find the number of the ways to choose integers a and b ( 0 \leq a, b &lt; n ) such that the second board is a good board. 
"
p03365, Painting Machines,"there are n squares lining up in a row, numbered 1 through n from left to right.
initially, all squares are white.
we also have n-1 painting machines, numbered 1 through n-1.
when operated, machine i paints square i and i+1 black. snuke will operate these machines one by one.
the order in which he operates them is represented by a permutation of (1, 2, ..., n-1), p, which means that the i-th operated machine is machine p_i. here, the score of a permutation p is defined as the number of machines that are operated before all the squares are painted black for the first time, when the machines are operated in the order specified by p.
snuke has not decided what permutation p to use, but he is interested in the scores of possible permutations.
find the sum of the scores over all possible permutations for him.
since this can be extremely large, compute the sum modulo 10^9+7. 
"
p03366, Go Home,"there are n apartments along a number line, numbered 1 through n.
apartment i is located at coordinate x_i.
also, the office of atcoder inc. is located at coordinate s.
every employee of atcoder lives in one of the n apartments.
there are p_i employees who are living in apartment i. all employees of atcoder are now leaving the office all together.
since they are tired from work, they would like to get home by the company's bus.
atcoder owns only one bus, but it can accommodate all the employees.
this bus will leave coordinate s with all the employees and move according to the following rule: everyone on the bus casts a vote on which direction the bus should proceed, positive or negative. (the bus is autonomous and has no driver.) each person has one vote, and abstaining from voting is not allowed. then, the bus moves a distance of 1 in the direction with the greater number of votes. if a tie occurs, the bus moves in the negative direction. if there is an apartment at the coordinate of the bus after the move, all the employees who live there get off. 
 repeat the operation above as long as there is one or more employees on the bus. 
 for a specific example, see sample input 1. the bus takes one seconds to travel a distance of 1.
the time required to vote and get off the bus is ignorable. every employee will vote so that he himself/she herself can get off the bus at the earliest possible time.
strictly speaking, when a vote is taking place, each employee see which direction results in the earlier arrival at his/her apartment, assuming that all the employees follow the same strategy in the future.
based on this information, each employee makes the optimal choice, but if either direction results in the arrival at the same time, he/she casts a vote to the negative direction. find the time the bus will take from departure to arrival at the last employees' apartment.
it can be proved that, given the positions of the apartments, the numbers of employees living in each apartment and the initial position of the bus, the future movement of the bus is uniquely determined, and the process will end in a finite time. 
"
p03367, Inversions,"snuke has an integer sequence a whose length is n.
he likes permutations of (1, 2, ..., n), p, that satisfy the following condition: p_i \leq a_i for all i ( 1 \leq i \leq n ). snuke is interested in the inversion numbers of such permutations.
find the sum of the inversion numbers over all permutations that satisfy the condition.
since this can be extremely large, compute the sum modulo 10^9+7. 
"
p03368, 01 on Tree,"snuke has a rooted tree with n vertices, numbered 1 through n.
vertex 1 is the root of the tree, and the parent of vertex i ( 2\leq i \leq n ) is vertex p_i ( p_i &lt; i ).
there is a number, 0 or 1, written on each vertex. the number written on vertex i is v_i. snuke would like to arrange the vertices of this tree in a horizontal row.
here, for every vertex, there should be no ancestor of that vertex to the right of that vertex. after arranging the vertices, let x be the sequence obtained by reading the numbers written on the vertices from left to right in the arrangement.
snuke would like to minimize the inversion number of x.
find the minimum possible inversion number of x. 
"
p03369, Something on It,"in ""takahashi-ya"", a ramen restaurant, a bowl of ramen costs 700 yen (the currency of japan), plus 100 yen for each kind of topping (boiled egg, sliced pork, green onions). a customer ordered a bowl of ramen and told which toppings to put on his ramen to a clerk. the clerk took a memo of the order as a string s. s is three characters long, and if the first character in s is o, it means the ramen should be topped with boiled egg; if that character is x, it means the ramen should not be topped with boiled egg. similarly, the second and third characters in s mean the presence or absence of sliced pork and green onions on top of the ramen. write a program that, when s is given, prints the price of the corresponding bowl of ramen. 
"
p03370, Bitter Alchemy,"akaki, a patissier, can make n kinds of doughnut using only a certain powder called ""okashi no moto"" (literally ""material of pastry"", simply called moto below) as ingredient. these doughnuts are called doughnut 1, doughnut 2, ..., doughnut n. in order to make one doughnut i (1 ≤ i ≤ n), she needs to consume m_i grams of moto. she cannot make a non-integer number of doughnuts, such as 0.5 doughnuts. now, she has x grams of moto. she decides to make as many doughnuts as possible for a party tonight. however, since the tastes of the guests differ, she will obey the following condition: for each of the n kinds of doughnuts, make at least one doughnut of that kind. at most how many doughnuts can be made here? she does not necessarily need to consume all of her moto. also, under the constraints of this problem, it is always possible to obey the condition. 
"
p03371, Half and Half,"""pizza at"", a fast food chain, offers three kinds of pizza: ""a-pizza"", ""b-pizza"" and ""ab-pizza"". a-pizza and b-pizza are completely different pizzas, and ab-pizza is one half of a-pizza and one half of b-pizza combined together. the prices of one a-pizza, b-pizza and ab-pizza are a yen, b yen and c yen (yen is the currency of japan), respectively. nakahashi needs to prepare x a-pizzas and y b-pizzas for a party tonight. he can only obtain these pizzas by directly buying a-pizzas and b-pizzas, or buying two ab-pizzas and then rearrange them into one a-pizza and one b-pizza. at least how much money does he need for this? it is fine to have more pizzas than necessary by rearranging pizzas. 
"
p03372, Static Sushi,"""teishi-zushi"", a japanese restaurant, is a plain restaurant with only one round counter. the outer circumference of the counter is c meters. customers cannot go inside the counter. nakahashi entered teishi-zushi, and he was guided to the counter. now, there are n pieces of sushi (vinegared rice with seafood and so on) on the counter. the distance measured clockwise from the point where nakahashi is standing to the point where the i-th sushi is placed, is x_i meters. also, the i-th sushi has a nutritive value of v_i kilocalories. nakahashi can freely walk around the circumference of the counter. when he reach a point where a sushi is placed, he can eat that sushi and take in its nutrition (naturally, the sushi disappears). however, while walking, he consumes 1 kilocalories per meter. whenever he is satisfied, he can leave the restaurant from any place (he does not have to return to the initial place). on balance, at most how much nutrition can he take in before he leaves? that is, what is the maximum possible value of the total nutrition taken in minus the total energy consumed? assume that there are no other customers, and no new sushi will be added to the counter. also, since nakahashi has plenty of nutrition in his body, assume that no matter how much he walks and consumes energy, he never dies from hunger. 
"
p03373, Half and Half,"""pizza at"", a fast food chain, offers three kinds of pizza: ""a-pizza"", ""b-pizza"" and ""ab-pizza"". a-pizza and b-pizza are completely different pizzas, and ab-pizza is one half of a-pizza and one half of b-pizza combined together. the prices of one a-pizza, b-pizza and ab-pizza are a yen, b yen and c yen (yen is the currency of japan), respectively. nakahashi needs to prepare x a-pizzas and y b-pizzas for a party tonight. he can only obtain these pizzas by directly buying a-pizzas and b-pizzas, or buying two ab-pizzas and then rearrange them into one a-pizza and one b-pizza. at least how much money does he need for this? it is fine to have more pizzas than necessary by rearranging pizzas. 
"
p03374, Static Sushi,"""teishi-zushi"", a japanese restaurant, is a plain restaurant with only one round counter. the outer circumference of the counter is c meters. customers cannot go inside the counter. nakahashi entered teishi-zushi, and he was guided to the counter. now, there are n pieces of sushi (vinegared rice with seafood and so on) on the counter. the distance measured clockwise from the point where nakahashi is standing to the point where the i-th sushi is placed, is x_i meters. also, the i-th sushi has a nutritive value of v_i kilocalories. nakahashi can freely walk around the circumference of the counter. when he reach a point where a sushi is placed, he can eat that sushi and take in its nutrition (naturally, the sushi disappears). however, while walking, he consumes 1 kilocalories per meter. whenever he is satisfied, he can leave the restaurant from any place (he does not have to return to the initial place). on balance, at most how much nutrition can he take in before he leaves? that is, what is the maximum possible value of the total nutrition taken in minus the total energy consumed? assume that there are no other customers, and no new sushi will be added to the counter. also, since nakahashi has plenty of nutrition in his body, assume that no matter how much he walks and consumes energy, he never dies from hunger. 
"
p03375, Everything on It,"in ""takahashi-ya"", a ramen restaurant, basically they have one menu: ""ramen"", but n kinds of toppings are also offered. when a customer orders a bowl of ramen, for each kind of topping, he/she can choose whether to put it on top of his/her ramen or not. there is no limit on the number of toppings, and it is allowed to have all kinds of toppings or no topping at all. that is, considering the combination of the toppings, 2^n types of ramen can be ordered. akaki entered takahashi-ya. she is thinking of ordering some bowls of ramen that satisfy both of the following two conditions: do not order multiple bowls of ramen with the exactly same set of toppings. each of the n kinds of toppings is on two or more bowls of ramen ordered. you are given n and a prime number m. find the number of the sets of bowls of ramen that satisfy these conditions, disregarding order, modulo m. since she is in extreme hunger, ordering any number of bowls of ramen is fine. 
"
